Ticket Number,Date Created,Subject,Priority,Department,Help Topic,Source,Current Status,Last Updated,SLA Due Date,Due Date,Closed Date,Overdue,Answered,Agent Assigned
372951,8/31/2018 13:17,"[CCS Helpdesk] Hopefully, last one.",Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,8/31/2018 13:46,9/2/2018 13:17,,8/31/2018 13:46,No,Yes,Ed
942982,9/5/2018 12:15,checking,Normal,CCS Support,CCS Main,Email,Closed,9/21/2018 14:05,9/7/2018 12:15,,9/21/2018 14:05,No,No,Ed
929428,9/6/2018 21:10,[CCS Helpdesk] iPad Ready,Normal,CCS Support,CCS Main,Email,Closed,9/7/2018 16:12,9/9/2018 21:10,,9/7/2018 16:12,No,No,Ed
229792,9/7/2018 15:10,[CCS Helpdesk] Shurley English,Normal,CCS Support,CCS Main / CCS Classroom Computers,Email,Closed,9/7/2018 16:11,9/10/2018 15:10,,9/7/2018 16:11,No,No,Ed
784966,10/12/2018 14:38,IT Local Admin Group,Normal,CCS Support,CCS Main / Network Connectivity,Other,Closed,10/15/2018 16:22,10/19/2018 14:38,,10/15/2018 16:22,No,Yes,Sherry
101711,10/29/2018 12:13,Time Machine Full,Normal,CCS Support,TimeMachine Issues - Mac,Walk-In,Closed,2/26/2019 17:28,4/27/2019 12:13,,2/26/2019 17:28,No,No,Ed
866032,11/5/2018 17:11,Thinkpad Setup,Normal,CBC Support,CBC Main / Device Setup,Phone,Closed,11/6/2018 12:43,11/8/2018 17:11,,11/6/2018 12:43,No,Yes,Ed
605730,11/8/2018 16:15,Testing,Normal,Facts Administration,Facts Administrative,Walk-In,Resolved,11/8/2018 16:42,11/11/2018 16:15,,11/8/2018 16:42,No,Yes,Mike
745019,11/9/2018 22:45,Fwd:,Normal,CCS Support,CCS Main / CCS Email Issues,Email,Closed,11/12/2018 15:13,11/12/2018 22:45,,11/12/2018 15:13,No,No,Ed
389790,11/14/2018 20:00,[CCS Helpdesk] Help,Normal,Facts Administration / Facts Academic,Facts Academic / Grade Book,Email,Closed,11/14/2018 20:15,11/21/2018 20:00,,11/14/2018 20:15,No,No,Randi
872438,12/13/2018 16:14,Smart Board light out A237,Normal,CCS Support,CCS Main / CCS Classroom SmartBoard and TVs,Walk-In,Closed,12/17/2018 19:54,12/16/2018 16:14,,12/17/2018 19:54,No,Yes,Sherry
312071,12/14/2018 17:05,[CCS Helpdesk] ParentsWeb,Normal,Facts Administration,Facts Academic,Email,Closed,12/17/2018 20:44,12/21/2018 17:05,,12/17/2018 20:44,No,Yes,Ed
411251,1/14/2019 15:12,Bouncing Network,Normal,Ongoing_Projects,CCS Main / Network Connectivity,Phone,Closed,1/17/2019 13:07,1/21/2019 15:12,,1/17/2019 13:07,No,No,Ed
756761,2/8/2019 2:30,[CCS Helpdesk] Fwd: Computer for you,Normal,CCS Support,CCS Main / Hardware,Email,Closed,2/11/2019 13:04,2/15/2019 2:30,,2/11/2019 13:04,No,No,Ed
115968,2/27/2019 13:20,[CCS Helpdesk] Testing,Normal,CCS Support,CCS Main,Email,Closed,2/27/2019 13:25,3/2/2019 13:20,,2/27/2019 13:25,No,No,Ed
448111,3/11/2019 16:55,TV #4 Used in Aerobics Room,Normal,CCS Support,CCS Main / CCS Classroom SmartBoard and TVs,Other,Closed,3/11/2019 19:25,3/14/2019 16:55,,3/11/2019 19:25,No,No,Ed
162208,3/25/2019 18:24,[CCS Helpdesk] test group,Normal,CCS Support,CCS Main,Email,Closed,3/25/2019 18:35,3/28/2019 18:24,,3/25/2019 18:35,No,No,Ed
570721,3/25/2019 18:46,[CCS Helpdesk] check again,Normal,CCS Support,CCS Main,Email,Closed,3/25/2019 18:48,3/28/2019 18:46,,3/25/2019 18:48,No,No,Ed
305246,3/25/2019 18:58,[CCS Helpdesk] test Group,Normal,CCS Support,CCS Main,Email,Closed,3/25/2019 19:00,3/28/2019 18:58,,3/25/2019 19:00,No,No,Ed
800512,3/25/2019 18:58,Test Direct,Normal,CCS Support,CCS Main,Email,Closed,3/25/2019 19:00,3/28/2019 18:58,,3/25/2019 19:00,No,No,Ed
367873,3/25/2019 19:03,checking,Normal,CBC Support,CBC Main,Email,Closed,3/25/2019 19:06,3/28/2019 19:03,,3/25/2019 19:06,No,No,Ed
204606,3/26/2019 12:03,test direct,Normal,CCS Support,CCS Main,Email,Closed,3/26/2019 12:03,3/29/2019 12:03,,3/26/2019 12:03,No,No,Ed
625226,3/26/2019 12:08,[CCS Helpdesk] test group 2,Normal,CCS Support,CCS Main,Email,Closed,3/26/2019 12:11,3/29/2019 12:08,,3/26/2019 12:11,No,No,Ed
969053,3/26/2019 12:08,test direct 2,Normal,CCS Support,CCS Main,Email,Closed,3/26/2019 12:11,3/29/2019 12:08,,3/26/2019 12:11,No,No,Ed
528046,3/26/2019 12:08,test cbc group,Normal,CBC Support,CBC Main,Email,Closed,3/26/2019 12:11,3/29/2019 12:08,,3/26/2019 12:11,No,No,Ed
193938,3/26/2019 18:20,Re: New Ticket: Re: [CCS Helpdesk] Fwd: mendieta,Normal,CCS Support,CCS Main,Email,Closed,3/26/2019 18:30,3/29/2019 18:20,,3/26/2019 18:30,No,No,Ed
586099,5/22/2019 18:10,[CCS Helpdesk] Unblock site,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,5/22/2019 18:12,5/25/2019 18:10,,5/22/2019 18:12,No,No,Ed
438162,5/22/2019 18:20,Whitelist Website,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,5/22/2019 18:34,5/25/2019 18:20,,5/22/2019 18:34,No,No,Ed
650767,8/29/2018 18:10,Tips for using your new inbox,Normal,Wee School Department,WEE School Issues,Email,Closed,8/30/2018 14:09,8/31/2018 18:10,,8/30/2018 14:09,No,No,Admin
755385,8/29/2018 18:10,"The best of Gmail, wherever you are",Normal,Wee School Department,WEE School Issues,Email,Closed,8/30/2018 14:09,8/31/2018 18:10,,8/30/2018 14:09,No,No,Admin
278090,8/29/2018 18:11,Tips for using your new inbox,Normal,CBC Support,,Email,Closed,8/30/2018 14:09,8/31/2018 18:11,,8/30/2018 14:09,No,No,Admin
706073,8/29/2018 18:11,"The best of Gmail, wherever you are",Normal,CBC Support,,Email,Closed,8/30/2018 14:09,8/31/2018 18:11,,8/30/2018 14:09,No,No,Admin
351831,8/30/2018 13:16,"The best of Gmail, wherever you are",Normal,Wee School Department,WEE School Issues,Email,Closed,8/30/2018 13:47,9/1/2018 13:16,,8/30/2018 13:47,No,No,Admin
420906,8/30/2018 13:19,Tips for using your new inbox,Normal,CCS Support,CCS Main,Email,Closed,8/30/2018 13:47,9/1/2018 13:19,,8/30/2018 13:47,No,No,Admin
667737,8/30/2018 13:19,"The best of Gmail, wherever you are",Normal,CCS Support,CCS Main,Email,Closed,8/30/2018 13:47,9/1/2018 13:19,,8/30/2018 13:47,No,No,Admin
676907,8/30/2018 13:25,Tips for using your new inbox,Normal,CBC Support,CBC Main,Email,Closed,8/30/2018 13:47,9/1/2018 13:25,,8/30/2018 13:47,No,No,Admin
467234,8/30/2018 13:25,"The best of Gmail, wherever you are",Normal,CBC Support,CBC Main,Email,Closed,8/30/2018 13:47,9/1/2018 13:25,,8/30/2018 13:47,No,No,Admin
352898,8/30/2018 13:25,Tips for using your new inbox,Normal,Wee School Department,WEE School Issues,Email,Closed,8/30/2018 13:47,9/1/2018 13:25,,8/30/2018 13:47,No,No,Admin
172103,8/30/2018 16:49,[CCS Helpdesk] meet with Allie Kransteuber new 9th grader,Normal,CCS Support,Chromebook Setup - (disabled),Email,Closed,8/31/2018 17:30,9/1/2018 16:49,,8/31/2018 17:30,No,No,Ed
218921,10/8/2018 14:05,[CCS Helpdesk] Padma needs Symbaloo link,Normal,CCS Support,CCS Main,Email,Closed,10/8/2018 15:39,10/11/2018 14:05,,10/8/2018 15:39,No,No,Ed
668133,7/3/2019 15:15,out of office Re: Asset checked in,Normal,CCS Support,CCS Main,Email,Closed,7/8/2019 14:07,7/6/2019 15:15,,7/8/2019 14:07,No,No,Jennifer
620999,10/17/2019 15:30,GroupMe May Have Been Hacked,Normal,CCS Support,CCS Main,Other,Closed,10/21/2019 20:17,10/24/2019 15:30,,10/21/2019 20:17,No,No,Sherry
488110,10/22/2019 12:30,HS office phones down again,Normal,CCS Support,CCS Main,Email,Closed,10/22/2019 16:11,10/25/2019 12:30,,10/22/2019 16:11,No,No,Sherry
858058,3/23/2020 13:05,[CCS Helpdesk] Sheila's cell # for remote calls,Normal,CCS Support,CCS Main,Email,Closed,3/23/2020 14:24,3/26/2020 13:05,,3/23/2020 14:24,No,No,Sherry
460520,4/2/2020 19:40,[CCS Helpdesk] adobe flash blocked?,Normal,Chromebook,Chromebook,Email,Closed,4/3/2020 13:15,4/9/2020 19:40,,4/3/2020 13:15,No,Yes,Sherry
737493,4/22/2020 13:29,[CCS Helpdesk] Karen Harrell email from College Board,Normal,CCS Support,CCS Main,Email,Closed,4/23/2020 15:05,4/25/2020 13:29,,4/23/2020 15:05,No,Yes,Sherry
966259,8/17/2020 1:55,[CCS Helpdesk] chromebook pick up instructions for remote learning students,Normal,Chromebook,Chromebook,Email,Closed,8/17/2020 13:55,8/24/2020 1:55,,8/17/2020 13:55,No,Yes,Sherry
527232,9/3/2020 12:55,[CCS Helpdesk] Fwd: Caroline,Normal,CCS Support,CCS Main,Email,Closed,9/4/2020 12:44,9/6/2020 12:55,,9/4/2020 12:44,No,No,Sherry
678543,9/8/2020 14:55,[CCS Helpdesk] Sheila dropped off computer,Normal,CCS Support,CCS Main,Email,Closed,9/8/2020 17:09,9/11/2020 14:55,,9/8/2020 17:09,No,Yes,Sherry
641120,9/22/2020 17:20,[CCS Helpdesk] no voice mails on phone or computer,Normal,CCS Support,CCS Main,Email,Closed,9/25/2020 15:09,9/25/2020 17:20,,9/25/2020 15:09,No,No,Sherry
634063,9/23/2020 21:15,[CCS Helpdesk] Google Meet links expired?,Normal,CCS Support,CCS Main,Email,Closed,9/25/2020 14:46,9/26/2020 21:15,,9/25/2020 14:46,No,Yes,Jamie
181467,10/22/2020 17:42,[CCS Helpdesk] computer for remote students in S103,Normal,CCS Support,CCS Main,Email,Closed,10/27/2020 16:57,10/25/2020 17:42,,10/27/2020 16:57,No,Yes,Jamie
765526,10/22/2020 18:00,[CCS Helpdesk] camera software on Dan's computer?,Normal,CCS Support,CCS Main,Email,Closed,10/28/2020 12:46,10/25/2020 18:00,,10/28/2020 12:46,No,No,Sherry
835128,11/2/2020 16:00,[CCS Helpdesk] Sheila's email is Spaming others,Normal,CCS Support,CCS Main,Email,Closed,11/2/2020 16:13,11/5/2020 16:00,,11/2/2020 16:13,No,Yes,Sherry
419029,11/6/2020 13:15,[CCS Helpdesk] Re: Having Issues with your Chromebook during a Google Meet? Three tips to keep your Chromebook working at its best!,Normal,Chromebook,Chromebook,Email,Closed,11/6/2020 13:38,11/13/2020 13:15,,11/6/2020 13:38,No,Yes,Sherry
650138,4/16/2021 14:40,[CCS Helpdesk] school computer in S108,Normal,Chromebook,Chromebook,Email,Closed,4/19/2021 13:30,4/23/2021 14:40,,4/19/2021 13:30,No,Yes,Jamie
448959,5/4/2021 14:25,[CCS Helpdesk] printer log in,Normal,CCS Support,CCS Main,Email,Closed,5/7/2021 12:51,5/7/2021 14:25,,5/7/2021 12:51,No,Yes,Jamie
330808,11/10/2021 13:59,Cody Steppe's chromebook?,Normal,Chromebook,Chromebook,Email,Closed,11/12/2021 14:38,11/17/2021 13:59,,11/12/2021 14:38,No,No,Sherry
281086,1/13/2022 16:40,pop ups from reddit,Normal,CCS Support,CCS Main,Email,Closed,1/18/2022 17:06,1/16/2022 16:40,,1/18/2022 17:06,No,Yes,Jamie
224793,3/15/2022 17:20,something printed but others won't,Normal,CCS Support,CCS Main,Email,Closed,3/15/2022 18:59,3/18/2022 17:20,,3/15/2022 18:59,No,Yes,Jamie
115405,5/6/2022 17:10,add K Harrell to Cory's class for Go Guardian,Normal,CCS Support,CCS Main,Email,Closed,5/10/2022 13:18,5/9/2022 17:10,,5/10/2022 13:18,No,No,Sherry
998521,6/3/2022 15:50,Fwd: A new FedEx document was sent to you,Normal,CCS Support,CCS Main,Email,Closed,6/6/2022 17:23,6/6/2022 15:50,,6/6/2022 17:23,No,No,Sherry
993821,9/11/2018 23:00,[CCS Helpdesk] Service Alert,Normal,CCS Support,CCS Main,Email,Closed,9/12/2018 11:52,9/14/2018 23:00,,9/12/2018 11:52,No,No,Ed
452245,9/13/2018 16:45,[CCS Helpdesk] Service Alert,Normal,CCS Support,CCS Main,Email,Closed,9/13/2018 16:55,9/16/2018 16:45,,9/13/2018 16:55,No,No,Ed
179350,9/13/2018 16:45,[CCS Helpdesk] Service Alert,Normal,CCS Support,CCS Main,Email,Closed,9/13/2018 16:55,9/16/2018 16:45,,9/13/2018 16:55,No,No,Ed
706868,11/16/2018 20:10,"[CCS Helpdesk] IMPORTANT: Changes on Monday, 11/19 - Loaner Chromebooks and cell phones",Normal,Chromebook,Chromebook,Email,Closed,11/20/2018 18:38,11/23/2018 20:10,,11/20/2018 18:38,No,No,Jennifer
105521,9/10/2019 16:55,[CCS Helpdesk] Test 2,Normal,CCS Support,CCS Main,Email,Closed,9/11/2019 17:31,9/13/2019 16:55,,9/11/2019 17:31,No,No,Sherry
996507,3/18/2020 15:35,[CCS Helpdesk] Riebe Inquiry on Distance Learning Connectivity,Normal,CCS Support,CCS Main,Email,Closed,3/18/2020 16:34,3/21/2020 15:35,,3/18/2020 16:34,No,Yes,Sherry
480998,3/18/2020 20:35,[CCS Helpdesk] Google Suite apps for middle schoolers,Normal,CCS Support,CCS Main,Email,Closed,3/19/2020 14:17,3/21/2020 20:35,,3/19/2020 14:17,No,No,Sherry
172388,3/20/2020 17:05,[CCS Helpdesk] YouTube channel,Normal,CCS Support,CCS Main,Email,Resolved,3/23/2020 12:18,3/23/2020 17:05,,3/23/2020 12:18,No,Yes,Jamie
814925,3/23/2020 16:31,[CCS Helpdesk] Printer connection,Normal,Chromebook,Chromebook,Email,Closed,3/24/2020 12:58,3/30/2020 16:31,,3/24/2020 12:58,No,No,Jennifer
210473,4/6/2020 17:00,[CCS Helpdesk] MS Cart 3-02 Chrome book issue,Normal,Chromebook,Chromebook,Email,Closed,4/7/2020 15:53,4/9/2020 17:00,,4/7/2020 15:53,No,Yes,Jennifer
794992,4/20/2020 13:30,[CCS Helpdesk] Chromebook issues,Normal,Chromebook,Chromebook,Email,Closed,4/21/2020 14:04,4/27/2020 13:30,,4/21/2020 14:04,No,Yes,Jennifer
997538,5/5/2020 14:58,[CCS Helpdesk] How to get your Chomebook off the Management Software to use after you graduate,Normal,Chromebook,Chromebook,Email,Closed,5/19/2020 16:45,5/12/2020 14:58,,5/5/2020 15:08,No,No,Sherry
730415,5/26/2020 15:15,[CCS Helpdesk] Caroline Bischoff chromebook question,Normal,Chromebook,Chromebook,Email,Closed,5/28/2020 19:51,6/2/2020 15:15,,5/28/2020 19:51,No,No,Sherry
908279,5/31/2020 13:35,[CCS Helpdesk] I T help needed,Normal,CCS Support,CCS Main,Email,Closed,6/1/2020 13:22,6/3/2020 13:35,,6/1/2020 13:22,No,Yes,Khrystal
931383,9/16/2020 18:15,[CCS Helpdesk] Madison Boyer  Chromebook,Normal,Chromebook,Chromebook,Email,Closed,9/21/2020 12:05,9/23/2020 18:15,,9/21/2020 12:05,No,Yes,Jennifer
766424,12/15/2020 13:55,[CCS Helpdesk] Trips chromebook,Normal,CCS Support,CCS Main,Email,Closed,12/15/2020 14:03,12/18/2020 13:55,,12/15/2020 14:03,No,No,Jennifer
716453,1/21/2021 13:58,[CCS Helpdesk] Warr.-KB-20 Technical difficulties,Normal,CCS Support,Chromebook,Email,Closed,3/4/2021 17:29,7/20/2021 13:58,,3/4/2021 17:29,No,No,Jennifer
392269,1/25/2021 19:15,[CCS Helpdesk] LCD-Emma Grace Thomas Chromebook,Normal,Chromebook,Chromebook,Email,Closed,2/9/2022 18:36,1/28/2021 19:15,,2/12/2021 15:40,No,No,Jennifer
349193,1/27/2021 13:34,[CCS Helpdesk] Christian Allen 3rd Grade,Normal,Chromebook,Chromebook,Email,Closed,1/27/2021 14:11,1/30/2021 13:34,,1/27/2021 14:11,No,Yes,Jennifer
648552,2/4/2021 14:38,[CCS Helpdesk] Carson Rochon-chromebook,Normal,Chromebook,Chromebook,Email,Closed,2/4/2021 17:17,2/7/2021 16:15,,2/4/2021 17:17,No,No,Jennifer
284102,2/4/2021 16:12,[CCS Helpdesk] Chromebook issue,Normal,Chromebook,Chromebook,Email,Closed,2/4/2021 16:22,2/11/2021 16:12,,2/4/2021 16:22,No,No,Jennifer
458749,2/4/2021 16:55,[CCS Helpdesk] Mason Thompson,Normal,CCS Support,CCS Main,Email,Closed,2/4/2021 17:16,2/7/2021 16:55,,2/4/2021 17:16,No,No,Jennifer
516881,2/4/2021 16:55,[CCS Helpdesk] Mason Thompson,Normal,CCS Support,CCS Main,Email,Closed,2/4/2021 17:16,2/7/2021 16:55,,2/4/2021 17:16,No,No,Jennifer
393150,2/4/2021 21:45,[CCS Helpdesk] Jennifer Test (Student) from iCloud Acct,Normal,CCS Support,CCS Main,Email,Closed,2/5/2021 14:06,2/7/2021 21:45,,2/5/2021 14:06,No,No,Jennifer
432521,2/4/2021 21:45,[CCS Helpdesk] Jennifer Test from iCloud Acct (Parent),Normal,CCS Support,CCS Main,Email,Closed,2/5/2021 14:06,2/7/2021 21:45,,2/5/2021 14:06,No,No,Jennifer
692652,2/4/2021 22:05,[CCS Helpdesk] Jennifer Test from the Website Repair Page,Normal,CCS Support,CCS Main,Email,Closed,2/5/2021 14:06,2/7/2021 22:05,,2/5/2021 14:06,No,No,Jennifer
334808,2/4/2021 23:15,[CCS Helpdesk] Test 3 Ticket from Website Repair,Normal,CCS Support,CCS Main,Email,Closed,2/5/2021 14:06,2/7/2021 23:15,,2/5/2021 14:06,No,No,Jennifer
846501,3/21/2021 23:20,[CCS Helpdesk] Ava Frazier help,Normal,Chromebook,Chromebook,Email,Closed,3/22/2021 12:51,3/28/2021 23:20,,3/22/2021 12:51,No,Yes,Sherry
499121,4/5/2021 20:20,[CCS Helpdesk] Remove from my work computer,Normal,Chromebook,Chromebook,Email,Closed,4/12/2021 14:20,4/12/2021 20:20,,4/12/2021 14:20,No,No,Sherry
696028,4/7/2021 15:00,[CCS Helpdesk] Chrome Book help,Normal,Chromebook,Chromebook,Email,Closed,4/12/2021 13:16,4/14/2021 15:00,,4/12/2021 13:16,No,No,Sherry
645185,4/14/2021 13:09,[CCS Helpdesk] Joy Hefferman is locked out of Chromebook,Normal,CCS Support,CCS Main,Email,Closed,4/19/2021 13:07,4/17/2021 13:09,,4/19/2021 13:07,No,Yes,Jamie
372671,8/26/2021 20:20,[CCS Helpdesk] Aubrey Countryman Google Classroom,Normal,Chromebook,Chromebook,Email,Closed,8/26/2021 20:45,9/2/2021 20:20,,8/26/2021 20:45,No,Yes,Sherry
117410,9/11/2021 13:30,[CCS Helpdesk] Evan Ziliani Chromebook,Normal,Chromebook,Chromebook,Email,Closed,9/13/2021 10:37,9/18/2021 13:30,,9/13/2021 10:37,No,Yes,Sherry
329832,1/26/2022 12:50,[CCS Helpdesk] Fwd: FREEZE! Movement Game & More,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,2/8/2022 15:03,1/29/2022 12:50,,2/8/2022 15:03,No,Yes,Jamie
113847,3/4/2022 6:55,[CCS Helpdesk] Moderator's spam report for ccshelpdesk@carmelchristian.org,Normal,CCS Support,CCS Main,Email,Closed,3/4/2022 21:51,3/7/2022 6:55,,3/4/2022 21:51,No,No,Sherry
508413,5/10/2022 7:00,[CCS Helpdesk] Moderator's spam report for ccshelpdesk@carmelchristian.org,Normal,CCS Support,CCS Main,Email,Closed,5/10/2022 11:53,5/13/2022 7:00,,5/10/2022 11:53,No,No,Sherry
856157,5/26/2022 13:00,[CCS Helpdesk] Important Technology Information for students not returning to CCS next year,Normal,Chromebook,Chromebook,Email,Closed,6/2/2022 13:44,6/2/2022 13:00,,6/2/2022 13:44,No,No,Sherry
948144,7/13/2022 15:55,[CCS Helpdesk] Chromebook Distribution - Cate Hilton,Normal,CCS Support,Chromebook,Email,Closed,8/2/2022 12:55,7/20/2022 15:55,,7/14/2022 19:03,No,No,Sherry
859864,8/9/2022 17:55,[CCS Helpdesk] Vey Family Portal not working,Normal,CCS Support,CCS Main,Email,Closed,8/9/2022 18:46,8/12/2022 17:55,,8/9/2022 18:46,No,No,Sherry
664528,8/15/2022 0:35,[CCS Helpdesk] Ryan Hayes 9th Grade,Normal,Chromebook,Chromebook,Email,Closed,8/15/2022 18:19,8/22/2022 0:35,,8/15/2022 18:19,No,Yes,Khrystal
430570,8/30/2018 17:05,[CCS Helpdesk] penalty box,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,8/31/2018 14:17,9/1/2018 17:05,,8/31/2018 14:17,No,Yes,Ed
346752,8/31/2018 14:10,[CCS Helpdesk] penalty box,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,8/31/2018 15:41,9/2/2018 14:10,,8/31/2018 15:41,No,No,Ed
570178,8/31/2018 17:20,[CCS Helpdesk] penalty box,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,9/4/2018 15:01,9/2/2018 17:20,,9/4/2018 15:01,No,No,Ed
909697,9/7/2018 18:37,[CCS Helpdesk] penalty box,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,9/10/2018 11:52,9/10/2018 18:37,,9/10/2018 11:52,No,Yes,Ed
715722,9/13/2018 14:15,[CCS Helpdesk] penalty box,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,9/13/2018 14:46,9/16/2018 14:15,,9/13/2018 14:46,No,Yes,Ed
415589,9/13/2018 18:45,[CCS Helpdesk] penalty box,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,9/13/2018 18:56,9/16/2018 18:45,,9/13/2018 18:56,No,Yes,Ed
309711,9/20/2018 15:53,[CCS Helpdesk] Annaliese Smith-Several keys on keyboard do not work,Normal,Chromebook,Chromebook,Email,Closed,9/21/2018 16:40,9/23/2018 15:53,,9/21/2018 16:40,No,Yes,Jennifer
484583,9/25/2018 15:25,[CCS Helpdesk] penalty box,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,9/25/2018 16:47,9/28/2018 15:25,,9/25/2018 16:47,No,Yes,Ed
929703,10/24/2018 17:55,Some Keys not Working-Asus C100PA,Normal,CCS Support,Chromebook,Other,Closed,10/29/2018 15:25,10/29/2018 16:52,,10/29/2018 15:25,No,Yes,Khrystal
740821,11/1/2018 13:52,[CCS Helpdesk] penalty box,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,11/1/2018 14:18,11/4/2018 13:52,,11/1/2018 14:18,No,Yes,Ed
906996,11/2/2018 0:05,[CCS Helpdesk] penalty box,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,11/2/2018 12:34,11/9/2018 0:05,,11/2/2018 12:34,No,Yes,Ed
476368,11/16/2018 19:50,[CCS Helpdesk] Annaliese Smith penalty box,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Closed,11/19/2018 13:27,11/19/2018 19:50,,11/19/2018 13:27,No,Yes,Ed
322325,12/12/2018 14:20,Several Keys Not Working-C100PA,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Other,Closed,12/12/2018 15:42,12/15/2018 14:20,,12/12/2018 15:42,No,Yes,Jennifer
233403,4/11/2019 14:16,Keys Not Working-Asus C100PA,Normal,CCS Support,Chromebook,Other,Closed,4/11/2019 14:38,4/14/2019 14:16,,4/11/2019 14:38,No,Yes,Jennifer
523351,8/30/2018 17:15,[CCS Helpdesk] Crooked viewing screen,Normal,CCS Support,CCS Main,Email,Closed,8/30/2018 17:52,9/1/2018 17:15,,8/30/2018 17:52,No,No,Ed
689985,3/22/2019 13:50,[CCS Helpdesk] Fwd: Overhead Projector bulb,Normal,CCS Support,CCS Main / CCS Classroom SmartBoard and TVs,Email,Closed,4/2/2019 17:04,3/25/2019 13:50,,4/2/2019 17:04,No,No,Ed
350947,3/17/2020 20:20,[CCS Helpdesk] Computer,Normal,CCS Support,CCS Main,Email,Closed,3/17/2020 20:20,3/20/2020 20:20,,3/17/2020 20:20,No,Yes,Sherry
113572,3/25/2020 17:45,[CCS Helpdesk] Youtube videos,Normal,CCS Support,CCS Main,Email,Resolved,3/25/2020 18:22,3/28/2020 17:45,,3/25/2020 18:22,No,Yes,Jamie
989780,3/25/2020 20:05,[CCS Helpdesk] youtube clips to be fixed up : ),Normal,CCS Support,CCS Main,Email,Closed,3/26/2020 14:56,3/28/2020 20:05,,3/26/2020 14:56,No,Yes,Khrystal
